ticker,official_chinese_name,official_english_name,industry,mean_market_cap,mean_daily_market_cap_weight,first_market_cap,last_market_cap,first_daily_market_cap_weight,last_daily_market_cap_weight
2379,瑞昱半導體,Realtek Semiconductor Corporation,M23G 半導體,2.680886008e+11,0.004496272956,2.69253e+11,2.46415e+11,0.005579255703,0.003214654404
3034,聯詠科技,Novatek Microelectronics Corp.,M23G 半導體,2.667020494e+11,0.00454943987,3.35898e+11,2.3093e+11,0.00696022266,0.00301264185
3661,世芯電子,"Alchip Technologies, Limited",M23G 半導體,2.620118889e+11,0.004312866871,2.1548e+11,2.02612e+11,0.00446501253,0.00264321392
2912,統一超商,President Chain Store Corporation,M29A 百貨批發,2.526945021e+11,0.004267110575,2.62505e+11,2.33395e+11,0.005439428783,0.003044799483
1301,台灣塑膠工業,Formosa Plastics Corporation,M13A 石化,2.522601811e+11,0.004143708177,2.40943e+11,2.92188e+11,0.004992637433,0.003811794903
2615,萬海航運,Wan Hai Lines Ltd.,M26A 海運,2.367717819e+11,0.004000933398,2.29823e+11,2.16354e+11,0.004762217258,0.002822487831
2801,彰化商業銀行,"Chang Hwa Commercial Bank, Ltd.",M28A 本國銀行,2.278728107e+11,0.003760138305,2.01143e+11,2.40027e+11,0.00416793213,0.003131318518
2609,陽明海運,Yang Ming Marine Transport Corp.,M26A 海運,2.131865103e+11,0.003633913822,2.68892e+11,1.81589e+11,0.005571775335,0.002368954319
5876,上海商業儲蓄銀行,"The Shanghai Commercial & Savings Bank,",M28A 本國銀行,2.068072099e+11,0.003495074911,2.20474e+11,1.89603e+11,0.004568494397,0.002473502502
2618,長榮航空,EVA Airways Corporation,M26D 空運,2.050535144e+11,0.003450533607,2.24929e+11,1.83345e+11,0.004660807515,0.002391862556
4938,和碩聯合科技,Pegatron Corporation,M23A 電腦及週邊,2.013103663e+11,0.003389486715,2.32762e+11,2.04381e+11,0.004823116979,0.002666291751
5871,中租控股,Chailease Holding Company Limited,M28K 租賃,1.90989321e+11,0.003216086075,1.99666e+11,1.87401e+11,0.00413732686,0.002444775886
1101,台灣水泥,"TCC Group Holdings CO., LTD.",M11A 水泥製造,1.8792e+11,0.003177974898,2.44658e+11,1.73033e+11,0.005069616835,0.002257335371
