week_index,week_start,week_end,weekly_total_news_count_unique_urls,nonzero_stock_count,zero_stock_count,zero_stock_ratio,ticker_with_max_raw_hype,max_raw_hype,ticker_with_max_market_cap_adjusted_hype,max_market_cap_adjusted_hype,raw_hype_sum,market_cap_weight_sum
1,2025-04-05,2025-04-11,1225,35,15,0.3,2330,0.4073469388,2317,6.478589395,1,1
2,2025-04-12,2025-04-18,1343,29,21,0.42,2330,0.668652271,3231,3.134651946,1,1
3,2025-04-19,2025-04-25,737,32,18,0.36,2330,0.3772048847,2618,6.181429656,1,1
4,2025-04-26,2025-05-02,836,30,20,0.4,2330,0.4330143541,2454,5.822898061,1,1
5,2025-05-03,2025-05-09,646,32,18,0.36,2330,0.3421052632,2454,5.376132627,1,1
6,2025-05-10,2025-05-16,808,33,17,0.34,2330,0.2871287129,4938,11.63470984,1,1
7,2025-05-17,2025-05-23,884,34,16,0.32,2330,0.2986425339,1301,10.20288711,1,1
8,2025-05-24,2025-05-30,628,35,15,0.3,2454,0.3598726115,2454,8.705739331,1,1
